0x0000|ミシロタウン
0x0001|コトキタウン
0x0002|ムロタウン
0x0003|フエンタウン
0x0004|ハジツゲタウン
0x0005|シダケタウン
0x0006|キナギタウン
0x0007|トウカシティ
0x0008|カイナシティ
0x0009|キンセツシティ
0x000a|カナズミシティ
0x000b|ヒワマキシティ
0x000c|ミナモシティ
0x000d|トクサネシティ
0x000e|ルネシティ
0x000f|サイユウシティ
0x0010|１０１ばんどうろ
0x0011|１０２ばんどうろ
0x0012|１０３ばんどうろ
0x0013|１０４ばんどうろ
0x0014|１０５ばんすいどう
0x0015|１０６ばんすいどう
0x0016|１０７ばんすいどう
0x0017|１０８ばんすいどう
0x0018|１０９ばんすいどう
0x0019|１１０ばんどうろ
0x001a|１１１ばんどうろ
0x001b|１１２ばんどうろ
0x001c|１１３ばんどうろ
0x001d|１１４ばんどうろ
0x001e|１１５ばんどうろ
0x001f|１１６ばんどうろ
0x0020|１１７ばんどうろ
0x0021|１１８ばんどうろ
0x0022|１１９ばんどうろ
0x0023|１２０ばんどうろ
0x0024|１２１ばんどうろ
0x0025|１２２ばんすいどう
0x0026|１２３ばんどうろ
0x0027|１２４ばんすいどう
0x0028|１２５ばんすいどう
0x0029|１２６ばんすいどう
0x002a|１２７ばんすいどう
0x002b|１２８ばんすいどう
0x002c|１２９ばんすいどう
0x002d|１３０ばんすいどう
0x002e|１３１ばんすいどう
0x002f|１３２ばんすいどう
0x0030|１３３ばんすいどう
0x0031|１３４ばんすいどう
0x0032|すいちゅう (１２４ばんすいどう)
0x0033|すいちゅう (１２６ばんすいどう)
0x0034|すいちゅう (１２７ばんすいどう)
0x0035|すいちゅう (１２８ばんすいどう)
0x0036|すいちゅう (ルネシティ)
0x0037|いしのどうくつ
0x0038|えんとつやま
0x0039|サファリゾーン (RSE)
0x003a|バトルタワー (RS) / バトルフロンティア (E)
0x003b|トウカのもり
0x003c|カナシダトンネル
0x003d|すてられぶね
0x003e|ニューキンセツ
0x003f|りゅうせいのたき
0x0040|りゅうせいのたき (未使用)
0x0041|おくりびやま
0x0042|アジト
0x0043|あさせのほらあな
0x0044|かいていどうくつ
0x0045|すいちゅう (かいていどうくつ)
0x0046|チャンピオンロード (RSE)
0x0047|マボロシじま
0x0048|めざめのほこら
0x0049|みなみのことう
